area_name,area_code,tSNE_1,tSNE_2,unemployment_rate,pct_private_rented_2021,pct_level4,pct_no_quals
Bracknell Forest,E06000036,-3.8298652,13.127382,0.0338,0.1573,0.3031,0.1631
Brighton and Hove,E06000043,17.222466,-0.5304219,0.0371,0.3269,0.3686,0.1606
Isle of Wight,E06000046,4.0760503,-5.7244906,0.044,0.2066,0.2263,0.2429
Medway,E06000035,3.5812666,-8.769993,0.0488,0.2018,0.1913,0.2291
Milton Keynes,E06000042,7.254027,-0.5156732,0.0476,0.2092,0.2822,0.1802
Portsmouth,E06000044,11.299169,-5.573278,0.0425,0.2863,0.2369,0.2117
Reading,E06000038,15.965528,-1.860807,0.0456,0.3195,0.3479,0.1739
Slough,E06000039,13.436065,-5.9926147,0.0542,0.307,0.2584,0.201
Southampton,E06000045,11.570925,-5.3005996,0.0423,0.2919,0.2462,0.2096
West Berkshire,E06000037,-2.0066338,14.389775,0.0293,0.1715,0.3211,0.1716
Windsor and Maidenhead,E06000040,4.0084105,15.816937,0.0316,0.206,0.384,0.1565
Wokingham,E06000041,0.6420888,20.206282,0.0263,0.1414,0.3998,0.1319
Eastbourne,E07000061,10.522893,-5.9495397,0.0408,0.2657,0.2442,0.2324
Hastings,E07000062,12.923472,-9.17835,0.0548,0.2861,0.2123,0.2538
Lewes,E07000063,-1.6151187,6.588689,0.0335,0.169,0.2942,0.2145
Rother,E07000064,-4.2791023,0.28310278,0.0321,0.1622,0.2546,0.247
Wealden,E07000065,-10.445915,9.162047,0.0252,0.1348,0.2888,0.1988
Basingstoke and Deane,E07000084,-4.6419134,13.326089,0.0324,0.154,0.3045,0.1734
East Hampshire,E07000085,-3.7864215,17.768446,0.0255,0.1304,0.3387,0.1687
Eastleigh,E07000086,-5.5385447,13.829674,0.0302,0.1394,0.2791,0.1765
Fareham,E07000087,-6.0314646,17.661394,0.0261,0.1255,0.2975,0.1756
Gosport,E07000088,4.1875153,-3.3625383,0.0424,0.1869,0.2148,0.2161
Hart,E07000089,-0.46177998,19.866604,0.0238,0.1362,0.3749,0.135
Havant,E07000090,-10.834213,-3.017098,0.0399,0.1242,0.2228,0.2504
New Forest,E07000091,-8.33816,5.3713036,0.0263,0.1434,0.2724,0.2114
Rushmoor,E07000092,6.36584,1.9986798,0.0372,0.215,0.2471,0.1863
Test Valley,E07000093,-4.106757,15.171566,0.0252,0.1475,0.3053,0.1836
Winchester,E07000094,2.0785127,18.143448,0.023,0.1759,0.4066,0.1454
Ashford,E07000105,-2.5116088,2.9806142,0.0363,0.1773,0.2463,0.2117
Canterbury,E07000106,5.982319,4.1626043,0.0305,0.2198,0.273,0.2046
Dartford,E07000107,3.9382343,-3.037855,0.044,0.1811,0.2205,0.2112
Dover,E07000108,2.9992337,-5.8750596,0.0446,0.1898,0.2196,0.2504
Gravesham,E07000109,2.6729217,-9.028745,0.0507,0.1905,0.1996,0.2438
Maidstone,E07000110,-2.3327336,4.591663,0.034,0.1733,0.2563,0.2065
Sevenoaks,E07000111,-6.337829,15.547483,0.0284,0.1336,0.3198,0.192
Folkestone and Hythe,E07000112,8.365166,-7.373164,0.0459,0.2249,0.2177,0.2467
Swale,E07000113,-3.2700858,-11.346249,0.046,0.1835,0.1892,0.2737
Thanet,E07000114,10.605839,-10.40253,0.0567,0.2626,0.1961,0.2836
Tonbridge and Malling,E07000115,-10.891881,7.2927313,0.0298,0.125,0.271,0.1997
Tunbridge Wells,E07000116,3.7824829,13.742445,0.0295,0.1922,0.3464,0.1707
Cherwell,E07000177,1.6056411,7.7974596,0.0284,0.1978,0.2806,0.1969
Oxford,E07000178,17.49752,0.34382445,0.0321,0.3215,0.4259,0.1364
South Oxfordshire,E07000179,-0.12683071,17.302595,0.0252,0.1591,0.3671,0.1647
Vale of White Horse,E07000180,0.34544265,17.353683,0.025,0.1566,0.3721,0.1668
West Oxfordshire,E07000181,1.1572884,14.181106,0.0227,0.1786,0.3291,0.1765
Elmbridge,E07000207,3.0147064,18.476406,0.0267,0.175,0.4385,0.1323
Epsom and Ewell,E07000208,-0.75731003,17.370754,0.0273,0.1612,0.3598,0.1583
Guildford,E07000209,3.459834,16.921728,0.0269,0.196,0.3952,0.142
Mole Valley,E07000210,-0.3829272,18.809742,0.0252,0.141,0.3794,0.1597
Reigate and Banstead,E07000211,-1.9516983,16.427353,0.0292,0.1568,0.3396,0.1658
Runnymede,E07000212,1.268365,10.025724,0.0273,0.1909,0.2992,0.1827
Spelthorne,E07000213,-3.1417232,5.738137,0.0326,0.1791,0.2595,0.2042
Surrey Heath,E07000214,-1.7338071,17.731085,0.0277,0.1536,0.3447,0.1499
Tandridge,E07000215,-4.63195,17.457022,0.0277,0.1328,0.3297,0.1713
Waverley,E07000216,0.92327136,19.33039,0.0242,0.1469,0.4014,0.1517
Woking,E07000217,4.234793,16.087626,0.0322,0.2109,0.3836,0.1521
Adur,E07000223,-9.38112,-2.7548254,0.0334,0.148,0.2199,0.2558
Arun,E07000224,-3.68904,-1.1210907,0.0334,0.182,0.2277,0.2486
Chichester,E07000225,0.67407674,11.267117,0.028,0.1812,0.3239,0.1951
Crawley,E07000226,4.0774164,-2.3890233,0.0451,0.1981,0.2154,0.201
Horsham,E07000227,-3.1180766,17.114277,0.0271,0.1452,0.3261,0.1631
Mid Sussex,E07000228,-1.7898986,18.317488,0.0243,0.1533,0.3363,0.1484
Worthing,E07000229,5.5773544,3.0249019,0.0347,0.2204,0.2596,0.2131
Bath and North East Somerset,E06000022,3.2140844,13.066183,0.0272,0.1932,0.334,0.1717
"Bristol, City of",E06000023,13.067336,-2.3547544,0.043,0.262,0.3278,0.2016
Cornwall,E06000052,0.5675806,2.4879317,0.0326,0.1971,0.2499,0.2243
Isles of Scilly,E06000053,18.109653,1.6560845,0.0111,0.3663,0.3301,0.1422
North Somerset,E06000024,0.8422302,7.9633503,0.0299,0.1841,0.2835,0.1961
Plymouth,E06000026,7.3702025,-5.5711055,0.0424,0.2263,0.2146,0.2226
South Gloucestershire,E06000025,-2.6466737,9.40185,0.0278,0.1574,0.2669,0.1861
Swindon,E06000030,4.610148,-2.7298095,0.0423,0.1932,0.2271,0.2052
Torbay,E06000027,9.771869,-7.4912972,0.0455,0.2662,0.2065,0.2582
Wiltshire,E06000054,0.27919602,9.451989,0.0294,0.174,0.2949,0.1863
East Devon,E07000040,-4.284255,7.2430778,0.0245,0.1602,0.2908,0.2107
Exeter,E07000041,7.5739913,4.1186676,0.0306,0.2494,0.2856,0.1833
