area_name,area_code,total_residents_16_74,unemployed,unemployment_rate,total_households_2011,private_rented_2011,pct_private_rented_2011,total_usual_residents,no_qualifications,level4_and_above,pct_no_quals,pct_level4,total_households_2021,private_rented_2021,pct_private_rented_2021,latitude,longitude,region
Tendring,E07000076,97050,4533,0.0467,62105,10064,0.162,115495,39616,18340,0.343,0.1588,67452,13370,0.1982,52.54,-2.09,East of England
Uttlesford,E07000077,57086,1527,0.0267,31316,4108,0.1312,63399,11232,20251,0.1772,0.3194,36955,5375,0.1454,52.64,-2.06,East of England
Broxbourne,E07000095,67599,2825,0.0418,37658,4199,0.1115,74850,19122,14394,0.2555,0.1923,39850,6367,0.1598,51.748,-0.022,East of England
Dacorum,E07000096,104410,3829,0.0367,59938,7107,0.1186,115983,21768,35872,0.1877,0.3093,63412,9093,0.1434,51.752,-0.422,East of England
East Hertfordshire,E07000242,100093,2849,0.0285,56577,7446,0.1316,110139,18959,36867,0.1721,0.3347,62023,9967,0.1607,51.32,-0.87,East of England
Hertsmere,E07000098,71511,2650,0.0371,39778,4981,0.1252,79841,15502,24588,0.1942,0.308,42682,7370,0.1727,52.8,-1.27,East of England
North Hertfordshire,E07000099,91510,3145,0.0344,53426,6993,0.1309,102388,18416,35242,0.1799,0.3442,56733,8722,0.1537,52.69,-1.21,East of England
St Albans,E07000240,99863,2715,0.0272,56140,7624,0.1358,110590,14268,51251,0.129,0.4634,58990,9602,0.1628,51.32,-0.8,East of England
Stevenage,E07000243,60988,2925,0.048,34898,3980,0.114,66866,14390,14762,0.2152,0.2208,36512,5470,0.1498,51.26,-0.84,East of England
Three Rivers,E07000102,62440,1984,0.0318,35108,3708,0.1056,69819,12261,23675,0.1756,0.3391,36857,4956,0.1345,52.76,-1.6,East of England
Watford,E07000103,66285,2692,0.0406,36681,7371,0.2009,71693,12513,23082,0.1745,0.322,39629,11177,0.282,52.81,-1.49,East of England
